0_0: gene-MG_RS00005
0_1: gene-MG_RS00010
0_2: gene-MG_RS00015
0_3: gene-MG_RS00020
0_4: gene-MG_RS00025
0_5: gene-MG_RS00030
0_6: gene-MG_RS00035
0_7: gene-MG_RS00040
0_8: gene-MG_RS00045
0_9: gene-MG_RS00050
0_10: gene-MG_RS00055
0_11: gene-MG_RS00060
0_12: gene-MG_RS00065
0_13: gene-MG_RS00080
0_14: gene-MG_RS00085
0_15: gene-MG_RS00090
0_16: gene-MG_RS00095
0_17: gene-MG_RS00100
0_18: gene-MG_RS00105
0_19: gene-MG_RS00110
0_20: gene-MG_RS00115
0_21: gene-MG_RS00120
0_22: gene-MG_RS00125
0_23: gene-MG_RS00130
0_24: gene-MG_RS00135
0_25: gene-MG_RS00140
0_26: gene-MG_RS00145
0_27: gene-MG_RS00150
0_28: gene-MG_RS00155
0_29: gene-MG_RS00160
0_30: gene-MG_RS00165
0_31: gene-MG_RS00170
0_32: gene-MG_RS00175
0_33: gene-MG_RS00180
0_34: gene-MG_RS00185
0_35: gene-MG_RS00190
0_36: gene-MG_RS00195
0_37: gene-MG_RS00200
0_38: gene-MG_RS00205
0_39: gene-MG_RS00210
0_40: gene-MG_RS00215
0_41: gene-MG_RS00220
0_42: gene-MG_RS00225
0_43: gene-MG_RS00230
0_44: gene-MG_RS00235
0_45: gene-MG_RS00240
0_46: gene-MG_RS00245
0_47: gene-MG_RS00250
0_48: gene-MG_RS00255
0_49: gene-MG_RS00260
0_50: gene-MG_RS00265
0_51: gene-MG_RS00270
0_52: gene-MG_RS00275
0_53: gene-MG_RS00280
0_54: gene-MG_RS02795
0_55: gene-MG_RS00285
0_56: gene-MG_RS00290
0_57: gene-MG_RS00295
0_58: gene-MG_RS00300
0_59: gene-MG_RS00305
0_60: gene-MG_RS00310
0_61: gene-MG_RS00315
0_62: gene-MG_RS00325
0_63: gene-MG_RS00330
0_64: gene-MG_RS00335
0_65: gene-MG_RS00340
0_66: gene-MG_RS00345
0_67: gene-MG_RS00350
0_68: gene-MG_RS00355
0_69: gene-MG_RS00360
0_70: gene-MG_RS00365
0_71: gene-MG_RS00370
0_72: gene-MG_RS02910
0_73: gene-MG_RS00385
0_74: gene-MG_RS00390
0_75: gene-MG_RS00395
0_76: gene-MG_RS00400
0_77: gene-MG_RS00405
0_78: gene-MG_RS00410
0_79: gene-MG_RS00415
0_80: gene-MG_RS00420
0_81: gene-MG_RS00425
0_82: gene-MG_RS00430
0_83: gene-MG_RS00435
0_84: gene-MG_RS00440
0_85: gene-MG_RS00445
0_86: gene-MG_RS00450
0_87: gene-MG_RS00455
