gene_1	gene_2	OG	species	dist_kaks	dist_tree	HGT_kaks	HGT_tree	HGT_topology	HGT
FORC_genomic_gene-AU210_006444	VDAG_Jr2_v4.0.NCBIorder_gene4706	OG0000259	VDAG_Jr2_v4.0.NCBIorder_vs_FORC_genomic	0.526511	0.065723	True	True	1	3
FORC_genomic_gene-AU210_011602	VDAG_Jr2_v4.0.NCBIorder_gene7710	OG0000058	VDAG_Jr2_v4.0.NCBIorder_vs_FORC_genomic	0.516376	0.008000455	True	True	1	3
FORC_genomic_gene-AU210_005824	Fv10027v4.0_6b715852-fbb0-418d-8d9b-f75a7753d227	OG0004153	Fv10027v4.0_vs_FORC_genomic	0.0961329	0.0	True	True	1	3
FORC_genomic_gene-AU210_008421	Fv10027v4.0_67878c49-3253-4a0d-9b07-fe334b951d7a	OG0005328	Fv10027v4.0_vs_FORC_genomic	0.106535	0.003077	True	True	1	3
FORC_genomic_gene-AU210_002730	Fv10027v4.0_5c0d554a-36be-4143-9bbc-eb5cef26a359	OG0000076	Fv10027v4.0_vs_FORC_genomic	0.0957977	0.0	True	True	1	3
FORC_genomic_gene-AU210_007688	Fv10027v4.0_da40e66c-9124-4be9-8c1f-05b64bdf3af7	OG0001501	Fv10027v4.0_vs_FORC_genomic	0.0682013	0.0	True	True	1	3
FORC_genomic_gene-AU210_010550	VDAG_Jr2_v4.0.NCBIorder_gene7528	OG0000058	VDAG_Jr2_v4.0.NCBIorder_vs_FORC_genomic	0.500106	0.008380455	True	True	1	3
FORC_genomic_gene-AU210_001424	VDAG_CQ2_11_01_2016_f473384a-3d5e-4c35-b6e6-b07005bb6e89	OG0000044	VDAG_CQ2_11_01_2016_vs_FORC_genomic	0.525394	0.091924	True	True	1	3
FORC_genomic_gene-AU210_015918	VDAG_Jr2_v4.0.NCBIorder_gene6120	OG0000012	VDAG_Jr2_v4.0.NCBIorder_vs_FORC_genomic	0.447088	0.198148	True	True	1	3
FORC_genomic_gene-AU210_001334	VDAG_Jr2_v4.0.NCBIorder_gene6391	OG0000044	VDAG_Jr2_v4.0.NCBIorder_vs_FORC_genomic	0.515001	0.130539	True	True	1	3
