Orthogroup	Species	Mycoplasma_hyopneumoniae	Orthologs
OG0000002	Mycoplasma_gallisepticum	gi|71851739|gb|AAZ44347.1|	gi|31541628|gb|AAP56928.1|
OG0000002	Mycoplasma_genitalium	gi|71851739|gb|AAZ44347.1|	gi|3844776|gb|AAC71399.1|
OG0000002	Mycoplasma_agalactiae	gi|71851739|gb|AAZ44347.1|	gi|290752801|emb|CBH40776.1|
OG0000002	Mycoplasma_genitalium	gi|71851738|gb|AAZ44346.1|	gi|3844775|gb|AAC71398.1|
OG0000002	Mycoplasma_gallisepticum	gi|71851738|gb|AAZ44346.1|	gi|31541629|gb|AAP56929.1|
OG0000002	Mycoplasma_agalactiae	gi|71851738|gb|AAZ44346.1|	gi|290752802|emb|CBH40777.1|
OG0000002	Mycoplasma_gallisepticum	gi|144227640|gb|AAZ44535.2|	gi|31541070|gb|AAP56372.1|
OG0000002	Mycoplasma_genitalium	gi|144227640|gb|AAZ44535.2|	gi|3845064|gb|AAC72489.1|, gi|1045740|gb|AAC71283.1|
OG0000002	Mycoplasma_agalactiae	gi|144227640|gb|AAZ44535.2|	gi|290753081|emb|CBH41057.1|
OG0000002	Mycoplasma_genitalium	gi|71851837|gb|AAZ44445.1|	gi|1045987|gb|AAC71511.1|
OG0000002	Mycoplasma_gallisepticum	gi|71851837|gb|AAZ44445.1|	gi|31541268|gb|AAP56569.1|
OG0000002	Mycoplasma_agalactiae	gi|71851837|gb|AAZ44445.1|	gi|290752526|emb|CBH40498.1|
OG0000004	Mycoplasma_gallisepticum	gi|71851789|gb|AAZ44397.1|, gi|71851779|gb|AAZ44387.1|, gi|71851504|gb|AAZ44112.1|, gi|71851505|gb|AAZ44113.1|, gi|71851506|gb|AAZ44114.1|, gi|144227561|gb|AAZ44388.2|, gi|71851788|gb|AAZ44396.1|, gi|71851814|gb|AAZ44422.1|, gi|144227552|gb|AAZ44371.2|, gi|71851859|gb|AAZ44467.1|, gi|71852025|gb|AAZ44633.1|, gi|144227425|gb|AAZ44111.2|	gi|31541304|gb|AAP56605.1|
OG0000004	Mycoplasma_agalactiae	gi|71851789|gb|AAZ44397.1|, gi|71851779|gb|AAZ44387.1|, gi|71851504|gb|AAZ44112.1|, gi|71851505|gb|AAZ44113.1|, gi|71851506|gb|AAZ44114.1|, gi|144227561|gb|AAZ44388.2|, gi|71851788|gb|AAZ44396.1|, gi|71851814|gb|AAZ44422.1|, gi|144227552|gb|AAZ44371.2|, gi|71851859|gb|AAZ44467.1|, gi|71852025|gb|AAZ44633.1|, gi|144227425|gb|AAZ44111.2|	gi|290752424|emb|CBH40395.1|
OG0000006	Mycoplasma_agalactiae	gi|144227478|gb|AAZ44221.2|	gi|290752766|emb|CBH40741.1|, gi|290752269|emb|CBH40240.1|, gi|290752270|emb|CBH40241.1|, gi|290752490|emb|CBH40462.1|, gi|290752414|emb|CBH40385.1|
OG0000006	Mycoplasma_genitalium	gi|144227478|gb|AAZ44221.2|	gi|3844927|gb|AAC71569.1|, gi|3844907|gb|AAC71551.1|, gi|1046010|gb|AAC71532.1|
OG0000006	Mycoplasma_gallisepticum	gi|144227478|gb|AAZ44221.2|	gi|31541382|gb|AAP56683.1|, gi|31541260|gb|AAP56562.1|
OG0000007	Mycoplasma_agalactiae	gi|71851550|gb|AAZ44158.1|	gi|290753066|emb|CBH41042.1|
OG0000007	Mycoplasma_gallisepticum	gi|71851550|gb|AAZ44158.1|	gi|284811924|gb|AAP56500.2|, gi|284811927|gb|ADB96855.1|, gi|284811928|gb|ADB96856.1|, gi|31541383|gb|AAP56684.1|, gi|31541331|gb|AAP56632.1|, gi|31541124|gb|AAP56426.1|, gi|31541333|gb|AAP56634.1|
OG0000007	Mycoplasma_genitalium	gi|71851550|gb|AAZ44158.1|	gi|3844628|gb|AAC71235.1|, gi|3844797|gb|AAC71418.1|
OG0000009	Mycoplasma_gallisepticum	gi|144227627|gb|AAZ44519.2|	gi|284812191|gb|AAP56899.2|
OG0000009	Mycoplasma_genitalium	gi|144227627|gb|AAZ44519.2|	gi|3844716|gb|AAC71343.1|, gi|3844861|gb|AAC71487.1|
OG0000009	Mycoplasma_agalactiae	gi|144227627|gb|AAZ44519.2|	gi|290752822|emb|CBH40797.1|, gi|290752964|emb|CBH40939.1|
OG0000009	Mycoplasma_gallisepticum	gi|71851687|gb|AAZ44295.1|	gi|31541320|gb|AAP56621.1|
OG0000009	Mycoplasma_genitalium	gi|71851687|gb|AAZ44295.1|	gi|3844859|gb|AAC71485.1|
OG0000009	Mycoplasma_agalactiae	gi|71851687|gb|AAZ44295.1|	gi|290752696|emb|CBH40670.1|
OG0000011	Mycoplasma_agalactiae	gi|144227728|gb|AAZ44705.2|, gi|144227727|gb|AAZ44698.2|, gi|144227629|gb|AAZ44523.2|	gi|290752565|emb|CBH40537.1|, gi|290752566|emb|CBH40538.1|, gi|290752539|emb|CBH40511.1|
OG0000011	Mycoplasma_gallisepticum	gi|144227728|gb|AAZ44705.2|, gi|144227727|gb|AAZ44698.2|, gi|144227629|gb|AAZ44523.2|	gi|284812288|gb|AAP57057.2|, gi|284812274|gb|AAP57044.2|, gi|284812289|gb|AAP57058.2|
OG0000012	Mycoplasma_gallisepticum	gi|71851995|gb|AAZ44603.1|, gi|71852041|gb|AAZ44649.1|, gi|71852028|gb|AAZ44636.1|, gi|71851970|gb|AAZ44578.1|, gi|71851810|gb|AAZ44418.1|, gi|71851917|gb|AAZ44525.1|, gi|71851791|gb|AAZ44399.1|, gi|71852017|gb|AAZ44625.1|	gi|31541315|gb|AAP56616.1|
OG0000013	Mycoplasma_genitalium	gi|71851590|gb|AAZ44198.1|	gi|1045671|gb|AAC71219.1|
OG0000013	Mycoplasma_gallisepticum	gi|71851590|gb|AAZ44198.1|	gi|31541775|gb|AAP57074.1|
OG0000013	Mycoplasma_agalactiae	gi|71851590|gb|AAZ44198.1|	gi|290753075|emb|CBH41051.1|
OG0000013	Mycoplasma_genitalium	gi|71851516|gb|AAZ44124.1|	gi|3844801|gb|AAC71421.1|
OG0000013	Mycoplasma_gallisepticum	gi|71851516|gb|AAZ44124.1|	gi|284812100|gb|AAP56770.2|
OG0000013	Mycoplasma_agalactiae	gi|71851516|gb|AAZ44124.1|	gi|290752440|emb|CBH40411.1|
OG0000014	Mycoplasma_gallisepticum	gi|144227680|gb|AAZ44615.2|	gi|31541774|gb|AAP57073.1|
OG0000014	Mycoplasma_genitalium	gi|144227680|gb|AAZ44615.2|	gi|1045672|gb|AAC71220.1|
OG0000014	Mycoplasma_agalactiae	gi|144227680|gb|AAZ44615.2|	gi|290752858|emb|CBH40833.1|
OG0000014	Mycoplasma_gallisepticum	gi|71851515|gb|AAZ44123.1|	gi|284812099|gb|AAP56769.2|
OG0000014	Mycoplasma_genitalium	gi|71851515|gb|AAZ44123.1|	gi|3844802|gb|AAC71422.1|
OG0000014	Mycoplasma_agalactiae	gi|71851515|gb|AAZ44123.1|	gi|290752441|emb|CBH40412.1|
OG0000015	Mycoplasma_genitalium	gi|71851501|gb|AAZ44109.1|	gi|3844958|gb|AAC71597.1|
OG0000015	Mycoplasma_gallisepticum	gi|71851501|gb|AAZ44109.1|	gi|31541547|gb|AAP56847.1|
OG0000015	Mycoplasma_agalactiae	gi|71851501|gb|AAZ44109.1|	gi|290753056|emb|CBH41032.1|
OG0000015	Mycoplasma_genitalium	gi|144227643|gb|AAZ44541.2|	gi|3844807|gb|AAC71427.1|
OG0000015	Mycoplasma_gallisepticum	gi|144227643|gb|AAZ44541.2|	gi|284811965|gb|AAP56559.2|
OG0000015	Mycoplasma_agalactiae	gi|144227643|gb|AAZ44541.2|	gi|290752997|emb|CBH40973.1|
OG0000017	Mycoplasma_gallisepticum	gi|144227479|gb|AAZ44222.2|	gi|31541673|gb|AAP56973.1|
OG0000017	Mycoplasma_agalactiae	gi|144227479|gb|AAZ44222.2|	gi|290752697|emb|CBH40671.1|, gi|290752376|emb|CBH40347.1|, gi|290753074|emb|CBH41050.1|
OG0000017	Mycoplasma_genitalium	gi|144227479|gb|AAZ44222.2|	gi|3845025|gb|AAC72453.1|, gi|3845036|gb|AAC72463.1|
OG0000018	Mycoplasma_agalactiae	gi|71851854|gb|AAZ44462.1|	gi|290752482|emb|CBH40454.1|, gi|290752494|emb|CBH40466.1|, gi|290752976|emb|CBH40952.1|
OG0000018	Mycoplasma_gallisepticum	gi|71851854|gb|AAZ44462.1|	gi|284811903|gb|ADB96853.1|, gi|31541254|gb|AAP56556.1|, gi|31541165|gb|AAP56467.1|
OG0000023	Mycoplasma_agalactiae	gi|144227722|gb|AAZ44690.2|	gi|290752502|emb|CBH40474.1|, gi|290753065|emb|CBH41041.1|, gi|290752421|emb|CBH40392.1|, gi|290752422|emb|CBH40393.1|, gi|290752278|emb|CBH40249.1|
OG0000025	Mycoplasma_genitalium	gi|144227465|gb|AAZ44185.2|	gi|3844741|gb|AAC71366.1|
OG0000025	Mycoplasma_agalactiae	gi|144227465|gb|AAZ44185.2|	gi|290752576|emb|CBH40548.1|, gi|290752559|emb|CBH40531.1|, gi|290752737|emb|CBH40712.1|, gi|290752921|emb|CBH40896.1|
OG0000028	Mycoplasma_agalactiae	gi|71852008|gb|AAZ44616.1|	gi|290752594|emb|CBH40566.1|
